id,templateId,skillId,"domain",stem,choiceA,choiceB,choiceC,choiceD,correctLetter,correctText,"choiceLengths","correctLength","lengthRatios",flags,source
GEN-SWP-T10-f3bgcv,SWP-T10,"NEW-5-EducationalPolicies",Academic,"A school is considering ability tracking for students who have varying academic needs. What should the school psychologist recommend?","A replacement behavior that serves a different function","Consider the limitations of tracking and ensure equal access to opportunities","Interventions all require parent consent","Use curriculum-based measurement for comprehensive evaluation",B,"Consider the limitations of tracking and ensure equal access to opportunities",A=55|B=77|C=40|D=61,77.00,A=0.71|B=1.00|C=0.52|D=0.79,"irrelevant-domain","generated"
GEN-SWP-T11-5jg2ec,SWP-T11,"NEW-5-EBPImportance",C&C,"Which of the following best describes the importance of evidence-based practices (EBP) in school psychology?","Assessment must determine eligibility","EBP ensures effectiveness, avoids harmful practices, and promotes best outcomes for students","Make disciplinary decisions about the student","Use an individual assessment for universal screening",B,"EBP ensures effectiveness, avoids harmful practices, and promotes best outcomes for students",A=37|B=92|C=45|D=52,92.00,A=0.40|B=1.00|C=0.49|D=0.57,"irrelevant-domain, length-mismatch","generated"
GEN-RES-T11-efezcm,RES-T11,"NEW-9-ProgramEvaluation",DBDM,"A school psychologist wants to evaluate the effectiveness of a mental health program. What is the most comprehensive approach?","Collect outcome data, process data, stakeholder feedback, and compare to baseline or control groups",Collect outcome data,"Use curriculum-based measurement for comprehensive evaluation","A replacement behavior that serves a different function",A,"Collect outcome data, process data, stakeholder feedback, and compare to baseline or control groups",A=99|B=20|C=61|D=55,99.00,A=1.00|B=0.20|C=0.62|D=0.56,"irrelevant-domain, length-mismatch","generated"
"GEN-MBH-T15-m08ncn",MBH-T15,"NEW-4-DevelopmentalInterventions",C&C,"A school psychologist is planning an intervention for a middle school student who has difficulty managing emotions. Which approach is most developmentally appropriate?","Include students with severe conduct disorders in group counseling","Use progress monitoring tools for program evaluation","Abstract, discussion-based approaches with longer sessions and peer-focused activities","Assign homework to the student",C,"Abstract, discussion-based approaches with longer sessions and peer-focused activities",A=66|B=52|C=86|D=30,86.00,A=0.77|B=0.60|C=1.00|D=0.35,"irrelevant-domain, length-mismatch","generated"
GEN-MBH-T03B-kjx9x7,MBH-T03B,MBH-S03,DBDM,"A student's disruption serves a escape function. Which replacement behavior would be most effective?","Decide on placement without examining evaluation results","A replacement behavior that serves a different function","Teaching the student to request a break","Provide less than the required supervision hours",C,"Teaching the student to request a break",A=56|B=55|C=39|D=48,39.00,A=1.44|B=1.41|C=1.00|D=1.23,"none","generated"
GEN-MBH-T03B-evqu3p,MBH-T03B,MBH-S03,MBH,"A student's disruption serves a sensory function. Which replacement behavior would be most effective?","Teaching a functionally equivalent replacement behavior","A replacement behavior that serves a different function","Prescribe treatment without proper authorization","Investigate the abuse allegations before reporting",A,"Teaching a functionally equivalent replacement behavior",A=55|B=55|C=48|D=50,55.00,A=1.00|B=1.00|C=0.87|D=0.91,"irrelevant-domain","generated"
GEN-SWP-T10-d6sx3k,SWP-T10,"NEW-5-EducationalPolicies",Academic,"A school is considering tracking students into different academic programs for students who are immature for their grade. What should the school psychologist recommend?","Cognitive Behavioral Therapy","Consider the limitations of tracking and ensure equal access to opportunities","Use progress monitoring tools for program evaluation","Students every need comprehensive evaluations before intervention",B,"Consider the limitations of tracking and ensure equal access to opportunities",A=28|B=77|C=52|D=65,77.00,A=0.36|B=1.00|C=0.68|D=0.84,"irrelevant-domain, length-mismatch","generated"
GEN-SWP-T10-lw7v66,SWP-T10,"NEW-5-EducationalPolicies",Research,"A school is considering grade retention for students who show different ability levels. What should the school psychologist recommend?","Breach confidentiality for general concerns about student well-being","Include students with severe conduct disorders in group counseling","Use a screening tool to determine eligibility","Question the effectiveness of retention and consider evidence-based alternatives",D,"Question the effectiveness of retention and consider evidence-based alternatives",A=68|B=66|C=45|D=80,80.00,A=0.85|B=0.82|C=0.56|D=1.00,"none","generated"
GEN-SWP-T10-r7fpak,SWP-T10,"NEW-5-EducationalPolicies",Research,"A school is considering grade retention for students who are performing below grade level. What should the school psychologist recommend?","Use curriculum-based measurement for comprehensive evaluation","Low scores lead to special education placement because they are related","Include students with severe conduct disorders in group counseling","Question the effectiveness of retention and consider evidence-based alternatives",D,"Question the effectiveness of retention and consider evidence-based alternatives",A=61|B=71|C=66|D=80,80.00,A=0.76|B=0.89|C=0.82|D=1.00,"none","generated"
GEN-ACAD-T10-cuomeq,ACAD-T10,"NEW-3-AccommodationsModifications",Academic,"A student with a learning disability needs assistive technology for writing. This is an example of:","Use progress monitoring tools for program evaluation","Apply the rule absolutely without considering context","Prescribe treatment without proper authorization","An accommodation (changes how the student accesses the curriculum)",D,"An accommodation (changes how the student accesses the curriculum)",A=52|B=53|C=48|D=66,66.00,A=0.79|B=0.80|C=0.73|D=1.00,"irrelevant-domain","generated"
GEN-ACAD-T10-y98cke,ACAD-T10,"NEW-3-AccommodationsModifications",C&C,"A student with a learning disability needs a reduced assignment load. This is an example of:","Allow full copying and release of test protocols","Assign homework to the student","Use a screening tool to determine eligibility","A modification (changes what the student learns)",D,"A modification (changes what the student learns)",A=48|B=30|C=45|D=48,48.00,A=1.00|B=0.63|C=0.94|D=1.00,"irrelevant-domain","generated"
GEN-MBH-T15-53ofgg,MBH-T15,"NEW-4-DevelopmentalInterventions",C&C,"A school psychologist is planning an intervention for a elementary school student who has difficulty managing emotions. Which approach is most developmentally appropriate?","Make disciplinary decisions about the student","Assessment must determine eligibility","Concrete, play-based, visual strategies with shorter sessions","Use a diagnostic assessment for weekly monitoring",C,"Concrete, play-based, visual strategies with shorter sessions",A=45|B=37|C=61|D=49,61.00,A=0.74|B=0.61|C=1.00|D=0.80,"irrelevant-domain","generated"
GEN-MBH-T08C-qlbme3,MBH-T08C,"NEW-4-GroupCounseling",DBDM,"A school psychologist observes that a grief and loss group is experiencing conflict, members challenging the leader, and testing boundaries. This group is in which stage?","Provide direct instruction in reading","Storming stage (characterized by conflict, resistance, and testing of group norms)","Intervention before assessment","Provide direct instruction only",B,"Storming stage (characterized by conflict, resistance, and testing of group norms)",A=37|B=82|C=30|D=31,82.00,A=0.45|B=1.00|C=0.37|D=0.38,"length-mismatch","generated"
"GEN-MBH-T08D-rc3nn4",MBH-T08D,"NEW-4-GroupCounseling",DBDM,"When screening students for a anxiety management group, a school psychologist should prioritize:","Ensuring members have similar needs","Include students with severe conduct disorders in group counseling","Ensuring members have similar needs, can benefit from group format, and are not contraindicated (e.g., aggressive behavior)","Deny access to records without legal basis",C,"Ensuring members have similar needs, can benefit from group format, and are not contraindicated (e.g., aggressive behavior)",A=35|B=66|C=123|D=42,123.00,A=0.28|B=0.54|C=1.00|D=0.34,"length-mismatch","generated"
GEN-MBH-T03B-yaaoc2,MBH-T03B,MBH-S03,MBH,"A student's tantrums serves a sensory function. Which replacement behavior would be most effective?","A replacement behavior that serves a different function","Teaching a functionally equivalent replacement behavior","Allow full copying and release of test protocols","Provide less than the required supervision hours",B,"Teaching a functionally equivalent replacement behavior",A=55|B=55|C=48|D=48,55.00,A=1.00|B=1.00|C=0.87|D=0.87,"none","generated"
GEN-MBH-T03B-r0w8r2,MBH-T03B,MBH-S03,DBDM,"A student's disruption serves a tangible function. Which replacement behavior would be most effective?","Prescribe medication for the student","Teaching the student to request the item appropriately","A replacement behavior that serves a different function","Intervention before assessment",B,"Teaching the student to request the item appropriately",A=36|B=54|C=55|D=30,54.00,A=0.67|B=1.00|C=1.02|D=0.56,"none","generated"
GEN-SWP-T10-x2xyl5,SWP-T10,"NEW-5-EducationalPolicies",Academic,"A school is considering tracking students into different academic programs for students who show different ability levels. What should the school psychologist recommend?","Apply adult diagnostic criteria directly to children","Consider the limitations of tracking and ensure equal access to opportunities","Use progress monitoring tools for program evaluation","Data collection always comes before intervention",B,"Consider the limitations of tracking and ensure equal access to opportunities",A=52|B=77|C=52|D=48,77.00,A=0.68|B=1.00|C=0.68|D=0.62,"none","generated"
